datetime,601857.SH,600893.SH,601288.SH,600104.SH,600031.SH,601318.SH,600570.SH,600276.SH,600436.SH,603799.SH,601688.SH,601668.SH,603501.SH,601633.SH,600028.SH,600588.SH,601601.SH,601066.SH,600887.SH,601628.SH,600346.SH,600309.SH,600111.SH,601995.SH,600519.SH,600048.SH,600036.SH,600809.SH,601012.SH,601088.SH,603259.SH,600900.SH,601398.SH,603986.SH,600905.SH,600196.SH,603288.SH,601166.SH,600010.SH,601899.SH,600745.SH,600030.SH,601728.SH,600438.SH,601919.SH,601211.SH,601888.SH,600690.SH,600585.SH,600837.SH,cash,commission,total,returns,equity_curve
2020-03-02,0.0,0.0,0.0,0.0,7576.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16991.0,2775.0,0.0,0.0,3236.9999999999995,3324.0,0.0,3013.0,1544.0,5016.0,0.0,0.0,0.0,1669.0000000000002,3475.0,0.0,3150.0,0.0,0.0,1726.0000000000002,0.0,0.0,0.0,2760.0,0.0,1759.0,0.0,3440.0,14321.0,0.0,0.0,3476.0,0.0,0.0,0.0,1764.0,6031.0,4437.0,141477.5299999999,811.4700000000001,232961.5299999999,0.01080832330276671,1.16480765
2020-03-03,0.0,0.0,0.0,0.0,7392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17470.0,2711.9999999999995,0.0,0.0,0.0,3352.0000000000005,0.0,2990.0,1533.0,4932.0,0.0,0.0,0.0,1661.0,3461.9999999999995,0.0,3101.0,0.0,0.0,1757.0,0.0,0.0,0.0,2773.0,0.0,0.0,0.0,3440.0,14000.0,0.0,0.0,3526.0,0.0,0.0,0.0,1764.0,5900.0,4449.0,146461.5299999999,823.4700000000001,232675.5299999999,-0.0012276705085170203,1.16337765
2020-03-04,0.0,0.0,0.0,0.0,7528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16988.0,2715.0,0.0,0.0,0.0,3535.0,0.0,3000.0,1534.0,4990.0,0.0,0.0,0.0,1680.9999999999998,3478.0,0.0,3045.0,0.0,0.0,1759.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,3464.0,13322.0,0.0,0.0,3388.0000000000005,0.0,0.0,0.0,1789.0,5924.0,4530.0,146461.5299999999,823.4700000000001,231983.5299999999,-0.0029740987374133887,1.15991765
2020-03-05,0.0,0.0,0.0,0.0,7540.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17479.0,2754.0,0.0,0.0,0.0,3889.0,0.0,3098.0,1540.0,5220.0,0.0,0.0,0.0,1704.0,3622.9999999999995,0.0,3134.0,0.0,0.0,1772.0,0.0,0.0,0.0,2868.0,0.0,0.0,0.0,3479.9999999999995,13251.0,0.0,0.0,3436.0,0.0,0.0,0.0,1848.9999999999998,5906.0,4641.0,146461.5299999999,823.4700000000001,233645.5299999999,0.007164301707108356,1.16822765
2020-03-06,0.0,0.0,0.0,0.0,7300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17251.0,2733.0,0.0,0.0,0.0,3610.0,0.0,3058.0,1508.0,5160.0,0.0,0.0,0.0,1648.9999999999998,3540.9999999999995,0.0,3070.0,0.0,0.0,1748.0,0.0,0.0,0.0,2846.0,0.0,0.0,0.0,3504.0,13088.0,0.0,0.0,3370.0000000000005,0.0,0.0,0.0,1803.0,5720.0,4476.0,146461.5299999999,823.4700000000001,231896.5299999999,-0.007485698528022389,1.15948265
2020-03-09,0.0,0.0,0.0,0.0,7016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15528.0,2607.0,0.0,0.0,0.0,3596.0,0.0,2915.0,1424.0,4852.0,0.0,0.0,0.0,1617.0000000000002,3418.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,2788.0,0.0,0.0,0.0,3264.0,11779.0,0.0,0.0,3040.0,0.0,0.0,0.0,1759.0,5570.0,4329.0,148203.5299999999,829.4700000000001,226577.5299999999,-0.0229369538216031,1.13288765
2020-03-10,0.0,0.0,0.0,0.0,7156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16280.000000000002,2685.0,0.0,0.0,0.0,3732.0,2989.0,2955.0,1472.0,4956.0,0.0,0.0,0.0,1639.0,3468.0,0.0,2932.0,0.0,0.0,0.0,0.0,0.0,0.0,2797.0,0.0,0.0,0.0,3232.0,12716.0,0.0,0.0,3160.0,0.0,0.0,0.0,1770.0,5757.0,4416.0,145291.62699999992,838.3730000000002,229403.62699999992,0.012472979999384792,1.1470181350000002
2020-03-11,0.0,0.0,0.0,0.0,6964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15960.0,2748.0,0.0,0.0,0.0,3585.0,2926.0,2926.0,1438.0,4857.0,0.0,0.0,0.0,1625.0,3445.0000000000005,0.0,2975.0,0.0,0.0,0.0,0.0,0.0,0.0,2739.0,0.0,0.0,0.0,3215.9999999999995,12030.0,0.0,0.0,3124.0,0.0,0.0,0.0,1735.0000000000002,5614.0,4296.0,145291.62699999992,838.3730000000002,227494.62699999992,-0.008321577234696509,1.137473135
2020-03-12,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16400.0,2757.0,0.0,0.0,0.0,3552.0000000000005,2857.0,2853.0,1404.0,4647.0,0.0,0.0,0.0,1639.0,3415.9999999999995,0.0,2842.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.0,0.0,0.0,0.0,3136.0,12030.0,0.0,0.0,3014.0,0.0,0.0,0.0,1675.0,5519.0,4236.0,145291.62699999992,838.3730000000002,226727.62699999992,-0.003371508198301343,1.133638135
2020-03-13,0.0,0.0,0.0,0.0,6704.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16266.0,2781.0,0.0,0.0,0.0,3495.0000000000005,2826.0,2765.0,1372.0,4496.0,0.0,0.0,0.0,1611.0,3340.9999999999995,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,2610.0,0.0,0.0,0.0,3072.0,12030.0,0.0,0.0,2952.0,0.0,0.0,0.0,1623.9999999999998,5412.0,4209.0,145291.62699999992,838.3730000000002,225657.62699999992,-0.00471931900914746,1.128288135
2020-03-16,0.0,0.0,0.0,0.0,6224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14638.999999999998,2577.0,0.0,0.0,0.0,3203.0,2725.0,2702.0,1312.0,4243.0,0.0,0.0,0.0,1529.0,3167.0,0.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,0.0,0.0,0.0,2912.0,12030.0,0.0,0.0,2690.0,0.0,0.0,0.0,1554.0,5170.0,3990.0,145291.62699999992,838.3730000000002,221174.62699999992,-0.019866379256039957,1.105873135
2020-03-17,0.0,2381.0,0.0,0.0,6368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14638.0,2463.0000000000005,0.0,0.0,0.0,3154.0,2778.0,2624.0,1289.0,4145.0,0.0,0.0,0.0,1509.0,3173.0,0.0,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,2920.0,0.0,0.0,0.0,2784.0,12030.0,0.0,0.0,2640.0,0.0,0.0,0.0,1510.0,5100.0,4014.0000000000005,142883.22699999993,846.7730000000001,220893.22699999993,-0.0012722978391187523,1.104466135
2020-03-18,0.0,2310.0,0.0,0.0,6156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,2427.0,0.0,0.0,0.0,3012.0,2767.0,2580.0,1296.0,4169.0,0.0,0.0,0.0,1442.0,3082.0,0.0,2431.0,0.0,0.0,0.0,0.0,0.0,0.0,2862.0,0.0,0.0,0.0,2728.0,12030.0,0.0,0.0,2636.0,0.0,0.0,0.0,1502.0,5140.0,3935.9999999999995,142883.22699999993,846.7730000000001,219789.22699999993,-0.004997889772328734,1.098946135
2020-03-19,0.0,2283.0,0.0,0.0,6008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14969.0,2463.0000000000005,0.0,0.0,0.0,3078.0,2784.0,2471.0,1291.0,4038.0000000000005,0.0,0.0,0.0,1400.0,2931.0,0.0,2389.0,0.0,0.0,0.0,0.0,0.0,0.0,2985.0,0.0,0.0,0.0,2688.0,12030.0,0.0,0.0,2696.0,0.0,0.0,0.0,1455.0,5009.0,3942.0,142883.22699999993,846.7730000000001,219793.22699999993,1.819925414259238e-05,1.098966135
2020-03-20,0.0,2325.0,0.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14574.0,2517.0,0.0,0.0,0.0,3120.0,2835.0,2530.0,1301.0,4057.0,0.0,0.0,0.0,1449.0,3104.0,0.0,2406.0,0.0,0.0,0.0,0.0,0.0,0.0,2956.0,0.0,0.0,0.0,2768.0,12030.0,0.0,0.0,2654.0,0.0,0.0,0.0,1461.0,5287.0,3957.0,142883.22699999993,846.7730000000001,220574.22699999993,0.0035533397032292413,1.1028711349999998
2020-03-23,0.0,2217.0,0.0,0.0,6388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13600.0,2340.0,0.0,0.0,0.0,2910.0,2751.0,2433.0,1270.0,3845.0000000000005,0.0,0.0,0.0,1408.0,3016.0,0.0,2227.0,0.0,0.0,0.0,0.0,0.0,0.0,2793.0,0.0,0.0,0.0,2768.0,12030.0,0.0,0.0,2388.0,0.0,0.0,0.0,1385.0,5173.0,3840.0,142883.22699999993,846.7730000000001,217665.22699999993,-0.013188304180252186,1.0883261349999998
2020-03-24,0.0,2247.0,0.0,0.0,6688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13734.0,2574.0,0.0,0.0,0.0,3012.0,2835.0,2552.0,0.0,3920.0000000000005,0.0,0.0,0.0,1452.0,0.0,0.0,2249.0,0.0,0.0,0.0,0.0,0.0,0.0,3033.0,0.0,0.0,0.0,2992.0,12030.0,0.0,0.0,2354.0,0.0,0.0,0.0,1462.0,5465.0,3860.9999999999995,147157.22699999993,858.7730000000001,219617.22699999993,0.008967900049556388,1.0980861349999997
2020-03-25,0.0,2280.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14869.999999999998,2718.0,0.0,0.0,0.0,3140.0,2864.0,2700.0,0.0,4129.0,0.0,0.0,0.0,1517.0,0.0,0.0,2392.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.0,0.0,0.0,0.0,3040.0,12030.0,0.0,0.0,2426.0,0.0,0.0,0.0,1504.0,5536.0,3906.0,147157.22699999993,858.7730000000001,222100.22699999993,0.011306034749268612,1.1105011349999998
2020-03-26,0.0,2229.0,0.0,0.0,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14519.999999999998,2670.0,0.0,0.0,0.0,3081.0,2838.0,2698.0,0.0,4112.0,0.0,0.0,0.0,1512.0,0.0,0.0,2361.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,3016.0,10827.0,0.0,0.0,2304.0,0.0,0.0,0.0,1463.0,5433.0,3855.0,147157.22699999993,858.7730000000001,220196.22699999993,-0.008572706231407823,1.1009811349999998
2020-03-27,0.0,2225.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14930.000000000002,2685.0,0.0,0.0,0.0,3116.0,2869.0,2683.0,0.0,4128.0,0.0,0.0,0.0,1525.0,0.0,0.0,2424.0,0.0,0.0,0.0,0.0,0.0,0.0,3265.0,0.0,0.0,0.0,3032.0,10556.0,0.0,0.0,2410.0,0.0,0.0,0.0,1477.0,5582.0,3885.0,147157.22699999993,858.7730000000001,220849.22699999993,0.002965536734650831,1.104246135
